GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub API for Java,org.kohsuke.github,GHIssueSearchBuilder,21,36,0,0,5,9,4,6,4,6
GitHub API for Java,org.kohsuke.github,GHBranchProtection.EnforceAdmins,3,6,0,0,1,2,1,2,1,2
GitHub API for Java,org.kohsuke.github,GHMarketplaceAccount,3,19,0,0,1,6,1,6,1,6
GitHub API for Java,org.kohsuke.github,GHMembership.Role,0,24,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHMarketplaceUserPurchase,11,19,0,0,3,6,3,6,3,6
GitHub API for Java,org.kohsuke.github.example.dataobject,ReadOnlyObjects.GHMetaGettersFinal,0,63,0,0,0,16,0,8,0,8
GitHub API for Java,org.kohsuke.github.example.dataobject,ReadOnlyObjects.GHMetaGettersUnmodifiable,0,35,0,0,0,9,0,8,0,8
GitHub API for Java,org.kohsuke.github.example.dataobject,ReadOnlyObjects.GHMetaGettersFinalCreator,0,54,0,0,0,17,0,8,0,8
GitHub API for Java,org.kohsuke.github.example.dataobject,ReadOnlyObjects.GHMetaPublic,28,24,0,0,14,8,7,8,7,8
GitHub API for Java,org.kohsuke.github.example.dataobject,ReadOnlyObjects,3,0,0,0,1,0,1,0,1,0
GitHub API for Java,org.kohsuke.github.example.dataobject,ReadOnlyObjects.GHMetaPackage,8,44,0,0,4,18,2,13,2,13
GitHub API for Java,org.kohsuke.github.extras,OkHttp3Connector,11,0,0,0,4,0,2,0,2,0
GitHub API for Java,org.kohsuke.github.extras,OkHttpConnector,16,85,1,7,4,19,1,8,0,5
GitHub API for Java,org.kohsuke.github.extras,ImpatientHttpConnector,6,44,0,0,2,13,1,4,1,4
GitHub API for Java,org.kohsuke.github.authorization,AuthorizationProvider.AnonymousAuthorizationProvider,0,5,0,0,0,2,0,2,0,2
GitHub API for Java,org.kohsuke.github.authorization,AuthorizationProvider,0,5,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github.authorization,ImmutableAuthorizationProvider.UserProvider,0,15,0,0,0,6,0,3,0,3
GitHub API for Java,org.kohsuke.github.authorization,OrgAppInstallationAuthorizationProvider,5,59,3,1,0,15,2,3,0,3
GitHub API for Java,org.kohsuke.github.authorization,ImmutableAuthorizationProvider,7,87,0,0,2,13,0,7,0,7
GitHub API for Java,org.kohsuke.github.extras.authorization,JWTTokenProvider,20,127,1,3,3,32,1,9,0,8
